JMÉNO_KARTY,CENA,@OBRÁZEK,EXPANZE,TYP,ČÍSLO_KARTY,POPIS,AUTOR,SÍLA,VZÁCNOST
DRÁČE,1,C:\Users\jakub\Desktop\Projects\Placate_karty\Test_1\Obrazky\drak.png,OA23,Drak,#0001,"""Hele, není to moc, ale aspoň je rotomilé.""",Pepík,2,BĚŽNÁ
ŽUŽLA,2,C:\Users\jakub\Desktop\Projects\Placate_karty\Test_1\Obrazky\[ART],OA23,Drak,#0002,"""To, že nemá zuby nutně neznamená, že nekouše.""",|E|,3,VZÁCNÁ
VÍLÍ DRÁČEK,2,C:\Users\jakub\Desktop\Projects\Placate_karty\Test_1\Obrazky\[ART],OA23,Drak,#0003,Draci zde mají +2,Pepík,1,BĚŽNÁ
RUDÝ DRAK,4,C:\Users\jakub\Desktop\Projects\Placate_karty\Test_1\Obrazky\[ART],OA23,Drak,#0004,Zničí VŠECHNY lidi se silou 3 a méně na této zemi,Pepík,2,VZÁCNÁ
ŘVOUCÍ DRAK,3,C:\Users\jakub\Desktop\Projects\Placate_karty\Test_1\Obrazky\[ART],OA23,Drak,#0005,Zruší VŠECHNY pasivní efekty stvořeních na zemi,Pepík,4,VZÁCNÁ
DRAK ÚSVITU,4,C:\Users\jakub\Desktop\Projects\Placate_karty\Test_1\Obrazky\[ART],OA23,Drak,#0006,Vyměň dvě svoje země včetně všech vlastních stvoření na nich,Pepík,6,EPICKÁ
SAFÍROVÝ DRAK,3,C:\Users\jakub\Desktop\Projects\Placate_karty\Test_1\Obrazky\[ART],OA23,Drak,#0007,"""Jestli čumí tvým směrem, zdrhej.""",|E|,4,BĚŽNÁ
JITŘENKA,3,C:\Users\jakub\Desktop\Projects\Placate_karty\Test_1\Obrazky\[ART],OA23,Drak,#0008,V příštím kole ti přidá +1 many,|E|,2,VZÁCNÁ
FLEGMA,2,C:\Users\jakub\Desktop\Projects\Placate_karty\Test_1\Obrazky\[ART],OA23,Drak,#0009,"""SUP~""",|E|,3,BĚŽNÁ
OČISTA,5,C:\Users\jakub\Desktop\Projects\Placate_karty\Test_1\Obrazky\[ART],OA23,Drak,#0010,Znič libovolného draka nebo člověka,|E|,3,BĚZNÁ
ZHOUBA VESNICE,3,C:\Users\jakub\Desktop\Projects\Placate_karty\Test_1\Obrazky\[ART],OA23,Drak,#0011,Lidé na této zemi mají -1 síly,Pepík,3,BĚŽNÁ
